取得時刻UTC,基軸資産照会,基軸資産アドレス,DEX,プールアドレス（pairAddress）,DEX Screener URL,ベースシンボル,ベース名称,ベースコントラクト,クオートシンボル,クオート名称,クオートコントラクト,流動性USD（API時点）,24時間出来高USD（API時点）,24時間買い件数（API時点）,24時間売り件数（API時点）,同一pairAddressで重複したAPI行数
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0xd6da5da6146ac3ff249888227fbc857a8055cd3b979a722b10895fbdb7aa4a9d,https://dexscreener.com/robinhood/0xd6da5da6146ac3ff249888227fbc857a8055cd3b979a722b10895fbdb7aa4a9d,SPORES,SPORES,0xe6c6a33935919dc46278121c0596e828691f8d6c,ETH,Ether,0x0000000000000000000000000000000000000000,28554.0,2774997.19,12620,11270,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0xdcb41cd66f34afa8d466854a5c64348a3014c2f61599250245dcde67f36d9272,https://dexscreener.com/robinhood/0xdcb41cd66f34afa8d466854a5c64348a3014c2f61599250245dcde67f36d9272,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,184440.12,21179.14,8,4,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x6DA554cDa3Cd05e7635704591baA472EAD9bA6B2,0xdfb8dac49db7dd017d6194c47fee052f5d13fae7,https://dexscreener.com/robinhood/0xdfb8dac49db7dd017d6194c47fee052f5d13fae7,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,43.64,0.19,1,0,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0xec5a642cb17dd215bf2bea2e711f96c16697497bdc80136dc609509ecc9107aa,https://dexscreener.com/robinhood/0xec5a642cb17dd215bf2bea2e711f96c16697497bdc80136dc609509ecc9107aa,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,185127.7,24947.52,13,4,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0xefcec38281d4cccaf9c9d7da02aff071d3b94d54fa50bb14b8e6b8e74529a16b,https://dexscreener.com/robinhood/0xefcec38281d4cccaf9c9d7da02aff071d3b94d54fa50bb14b8e6b8e74529a16b,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,ETH,Ether,0x0000000000000000000000000000000000000000,21634.6,1254470.94,11632,13327,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0xf0105531613f700525888d42d37621b687d2d565b171ba468999513caa7525a8,https://dexscreener.com/robinhood/0xf0105531613f700525888d42d37621b687d2d565b171ba468999513caa7525a8,CHUMP,Chump Coin,0x0e0d2c89a5a019fe1cf762e5e33187631dacc21b,ETH,Ether,0x0000000000000000000000000000000000000000,47491.67,60804.93,163,182,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0xf4c6abf880088ad47d750f68cea6d30a627d6ac5161bae6120668f9f60da3b6f,https://dexscreener.com/robinhood/0xf4c6abf880088ad47d750f68cea6d30a627d6ac5161bae6120668f9f60da3b6f,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,185189.17,113854.7,20,24,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0xf9bf5011c89d04637c0d747a1f99f3940d1f001c4e30eacd33dd03a49f5fb0f9,https://dexscreener.com/robinhood/0xf9bf5011c89d04637c0d747a1f99f3940d1f001c4e30eacd33dd03a49f5fb0f9,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,ETH,Ether,0x0000000000000000000000000000000000000000,750794.6,1456692.94,128,127,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,sheriff,0xfa0a35415ed6f038c3830f48073ac7f77f2daa01,https://dexscreener.com/robinhood/0xfa0a35415ed6f038c3830f48073ac7f77f2daa01,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,2717.72,18.64,8,1,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,ramses,0xfae65eaa11943f45e83d5b45dc7a7c801c51bfb0,https://dexscreener.com/robinhood/0xfae65eaa11943f45e83d5b45dc7a7c801c51bfb0,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,915419.04,26113650.47,18047,16358,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,up,0xfb5637e6163279cb22fdf15b0fe5239b79e7e025,https://dexscreener.com/robinhood/0xfb5637e6163279cb22fdf15b0fe5239b79e7e025,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,14.46,0.14,11,4,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,abyss,0xfeea771d84df21c44223227fc7f86d18aeb4c9ee,https://dexscreener.com/robinhood/0xfeea771d84df21c44223227fc7f86d18aeb4c9ee,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,49.64,75.65,3,4,1
